Sample in Buffer,Sample in Window,TRIGGER,u_m_axi_top/m_axi_rdata[127:0],u_m_axi_top/m_axi_wdata[127:0],m_axi_rlast,m_axi_wlast
0,0,0,00000000000000000000000000000000,00df00de00dd00dc00db00da00d900d8,0,0
1,1,0,00000000000000000000000000000000,00e700e600e500e400e300e200e100e0,0,0
2,2,0,00000000000000000000000000000000,00ef00ee00ed00ec00eb00ea00e900e8,0,0
3,3,0,00000000000000000000000000000000,00f700f600f500f400f300f200f100f0,0,0
4,4,0,00000000000000000000000000000000,00ff00fe00fd00fc00fb00fa00f900f8,0,0
5,5,0,00000000000000000000000000000000,01070106010501040103010201010100,0,0
6,6,0,00000000000000000000000000000000,010f010e010d010c010b010a01090108,0,0
7,7,0,00000000000000000000000000000000,01170116011501140113011201110110,0,0
8,8,0,00000000000000000000000000000000,011f011e011d011c011b011a01190118,0,0
9,9,0,00000000000000000000000000000000,01270126012501240123012201210120,0,0
10,10,0,00000000000000000000000000000000,012f012e012d012c012b012a01290128,0,0
11,11,0,00000000000000000000000000000000,01370136013501340133013201310130,0,0
12,12,0,00000000000000000000000000000000,013f013e013d013c013b013a01390138,0,0
13,13,0,00000000000000000000000000000000,01470146014501440143014201410140,0,0
14,14,0,00000000000000000000000000000000,014f014e014d014c014b014a01490148,0,0
15,15,0,00000000000000000000000000000000,01570156015501540153015201510150,0,0
16,16,0,00000000000000000000000000000000,015f015e015d015c015b015a01590158,0,0
17,17,0,00000000000000000000000000000000,01670166016501640163016201610160,0,0
18,18,0,00000000000000000000000000000000,016f016e016d016c016b016a01690168,0,0
19,19,0,00000000000000000000000000000000,01770176017501740173017201710170,0,0
20,20,0,00000000000000000000000000000000,017f017e017d017c017b017a01790178,0,0
21,21,0,00000000000000000000000000000000,01870186018501840183018201810180,0,0
22,22,0,00000000000000000000000000000000,018f018e018d018c018b018a01890188,0,0
23,23,0,00000000000000000000000000000000,01970196019501940193019201910190,0,0
24,24,0,00000000000000000000000000000000,019f019e019d019c019b019a01990198,0,0
25,25,0,00000000000000000000000000000000,01a701a601a501a401a301a201a101a0,0,0
26,26,0,00000000000000000000000000000000,01af01ae01ad01ac01ab01aa01a901a8,0,0
27,27,0,00000000000000000000000000000000,01b701b601b501b401b301b201b101b0,0,0
28,28,0,00000000000000000000000000000000,01bf01be01bd01bc01bb01ba01b901b8,0,0
29,29,0,00000000000000000000000000000000,01c701c601c501c401c301c201c101c0,0,0
30,30,0,00000000000000000000000000000000,01cf01ce01cd01cc01cb01ca01c901c8,0,0
31,31,0,00000000000000000000000000000000,01d701d601d501d401d301d201d101d0,0,0
32,32,0,00000000000000000000000000000000,01df01de01dd01dc01db01da01d901d8,0,0
33,33,0,00000000000000000000000000000000,01e701e601e501e401e301e201e101e0,0,0
34,34,0,00000000000000000000000000000000,01ef01ee01ed01ec01eb01ea01e901e8,0,0
35,35,0,00000000000000000000000000000000,01f701f601f501f401f301f201f101f0,0,0
36,36,0,00000000000000000000000000000000,01ff01fe01fd01fc01fb01fa01f901f8,0,0
37,37,0,00000000000000000000000000000000,02070206020502040203020202010200,0,0
38,38,0,00000000000000000000000000000000,020f020e020d020c020b020a02090208,0,0
39,39,0,00000000000000000000000000000000,02170216021502140213021202110210,0,0
40,40,0,00000000000000000000000000000000,021f021e021d021c021b021a02190218,0,0
41,41,0,00000000000000000000000000000000,02270226022502240223022202210220,0,0
42,42,0,00000000000000000000000000000000,022f022e022d022c022b022a02290228,0,0
43,43,0,00000000000000000000000000000000,02370236023502340233023202310230,0,0
44,44,0,00000000000000000000000000000000,023f023e023d023c023b023a02390238,0,0
45,45,0,00000000000000000000000000000000,02470246024502440243024202410240,0,0
46,46,0,00000000000000000000000000000000,024f024e024d024c024b024a02490248,0,0
47,47,0,00000000000000000000000000000000,02570256025502540253025202510250,0,0
48,48,0,00000000000000000000000000000000,025f025e025d025c025b025a02590258,0,0
49,49,0,00000000000000000000000000000000,02670266026502640263026202610260,0,0
50,50,0,00000000000000000000000000000000,026f026e026d026c026b026a02690268,0,0
51,51,0,00000000000000000000000000000000,02770276027502740273027202710270,0,0
52,52,0,00000000000000000000000000000000,027f027e027d027c027b027a02790278,0,0
53,53,0,00000000000000000000000000000000,02870286028502840283028202810280,0,0
54,54,0,00000000000000000000000000000000,028f028e028d028c028b028a02890288,0,0
55,55,0,00000000000000000000000000000000,02970296029502940293029202910290,0,0
56,56,0,00000000000000000000000000000000,029f029e029d029c029b029a02990298,0,0
57,57,0,00000000000000000000000000000000,02a702a602a502a402a302a202a102a0,0,0
58,58,0,00000000000000000000000000000000,02af02ae02ad02ac02ab02aa02a902a8,0,0
59,59,0,00000000000000000000000000000000,02b702b602b502b402b302b202b102b0,0,0
60,60,0,00000000000000000000000000000000,02bf02be02bd02bc02bb02ba02b902b8,0,0
61,61,0,00000000000000000000000000000000,02c702c602c502c402c302c202c102c0,0,0
62,62,0,00000000000000000000000000000000,02cf02ce02cd02cc02cb02ca02c902c8,0,0
63,63,0,00000000000000000000000000000000,02d702d602d502d402d302d202d102d0,0,0
64,64,0,00000000000000000000000000000000,02df02de02dd02dc02db02da02d902d8,0,0
65,65,0,00000000000000000000000000000000,02e702e602e502e402e302e202e102e0,0,0
66,66,0,00000000000000000000000000000000,02ef02ee02ed02ec02eb02ea02e902e8,0,0
67,67,0,00000000000000000000000000000000,02f702f602f502f402f302f202f102f0,0,0
68,68,0,00000000000000000000000000000000,02ff02fe02fd02fc02fb02fa02f902f8,0,0
69,69,0,00000000000000000000000000000000,03070306030503040303030203010300,0,0
70,70,0,00000000000000000000000000000000,030f030e030d030c030b030a03090308,0,0
71,71,0,00000000000000000000000000000000,03170316031503140313031203110310,0,0
72,72,0,00000000000000000000000000000000,031f031e031d031c031b031a03190318,0,0
73,73,0,00000000000000000000000000000000,03270326032503240323032203210320,0,0
74,74,0,00000000000000000000000000000000,032f032e032d032c032b032a03290328,0,0
75,75,0,00000000000000000000000000000000,03370336033503340333033203310330,0,0
76,76,0,00000000000000000000000000000000,033f033e033d033c033b033a03390338,0,0
77,77,0,00000000000000000000000000000000,03470346034503440343034203410340,0,0
78,78,0,00000000000000000000000000000000,034f034e034d034c034b034a03490348,0,0
79,79,0,00000000000000000000000000000000,03570356035503540353035203510350,0,0
80,80,0,00000000000000000000000000000000,035f035e035d035c035b035a03590358,0,0
81,81,0,00000000000000000000000000000000,03670366036503640363036203610360,0,0
82,82,0,00000000000000000000000000000000,036f036e036d036c036b036a03690368,0,0
83,83,0,00000000000000000000000000000000,03770376037503740373037203710370,0,0
84,84,0,00000000000000000000000000000000,037f037e037d037c037b037a03790378,0,0
85,85,0,00000000000000000000000000000000,03870386038503840383038203810380,0,0
86,86,0,00000000000000000000000000000000,038f038e038d038c038b038a03890388,0,0
87,87,0,00000000000000000000000000000000,03970396039503940393039203910390,0,0
88,88,0,00000000000000000000000000000000,039f039e039d039c039b039a03990398,0,0
